"id","type_of_course","course_name","course_short_name","url_mask","enrollment_close_date","course_fee","course_duration","is_installment_facility","class_routine","is_new","is_featured","lms_course_id","status","exit_intent_id","old_pid","old_id","discarded","added_date","modified_date","mailchimp_interest_id","hide_from_list","show_new_refund_policy","new_refund_policy","refund_policy_tagline","show_freedownload_msg","freedownload_msg","show_freedownload_succ_msg","freedownload_succ_msg","is_new_welcome_email","new_welcome_email","freedownload_vdo_cnt","duration_type","show_type","time_interval","popup_id","ap_id","show_join_the_waitlist_msg","join_the_waitlist_msg","show_join_the_waitlist_succ_msg","join_the_waitlist_succ_msg","banner_short_information","show_govt_logo_cap","tags","ap_course_cat_id","welcome_call_required","payment_gateway","location_short_name","type_of_course_sec","show_govt_medhavi_logo"
"102","13","Crack The Solicitors Qualifying Examination (SQE 1) (Global)","TP-SQE 1 (Global)","crack-the-solicitors-qualifying-examination-sqe-1-global","2024-12-05 11:15:00","1899","12","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-12-06 11:16:19","2024-12-06 12:12:07",,"N","N","","","N","","N","","N","","","month","T","0","0","270","N","","N","","","N","Remote International Work","5","Y","Cashfree","US",,"0"
"101","13","Paralegal Associate Training Program","Paralegal Associate Course (US)","paralegal-associate-training-program","2024-11-21 14:34:00","1999","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-11-22 14:34:47","2024-11-22 19:11:41",,"N","N","","","N","","N","","N","","","month","T","0","0","269","N","","N","","","N","Remote International Work","13","Y","Cashfree","US",,"0"
"100","13","US Contract Drafting Program","US Contract Drafting Program (US)","us-contract-drafting-program","2024-11-21 13:22:00","999","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-11-22 13:22:25","2024-11-22 19:11:56",,"N","N","","","N","","N","","N","","","month","T","0","0","268","N","","N","","","N","Remote International Work","13","Y","Cashfree","US",,"0"
"99","13","International Visa Processes and Job Seeking for Nurses","International Visa Processes and Job Seeking for N","international-visa-processes-and-job-seeking-for-nurses","2025-07-31 23:59:00","40000","3","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-11-08 19:53:25","2025-07-16 12:07:13",,"N","N","","","N","","N","","N","","","month","T","0","0","267","N","","N","","","N","Remote International Work","16","Y","Cashfree","IN",,"0"
"98","13","IELTS English Proficiency & Communication Skills Program","IELTS Exam Preparatory Course","ielts-exam-preparatory-course","2025-07-31 23:59:00","40000","3","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-11-08 19:08:04","2025-10-01 16:10:24",,"N","N","","","N","","N","","N","","","month","T","0","0","266","N","","N","","","N","Remote International Work","16","Y","Cashfree","IN",,"0"
"97","13","NCLEX Nursing Competency Enhancement Program","NCLEX Exam Preparatory Course","nclex-exam-preparatory-course","2024-11-07 18:44:00","79999","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-11-08 18:44:26","2025-10-01 16:10:52",,"N","N","","","N","","N","","N","","","month","T","0","0","265","N","","N","","","N","Remote International Work","16","Y","Cashfree","IN",,"0"
"96","13","Service Business Entrepreneurship: Scale to 1 cr Per Year","Diploma in Service Business Entrepreneurship","service-business-entrepreneurship-scale-to-1-cr-per-year","2025-11-30 23:59:00","66000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2024-10-20 11:38:07","2026-01-22 18:01:59",,"N","N","","","N","","N","","N","","","month","T","0","0","264","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"95","13","Diploma in International Contract Negotiation, Drafting and Enforcement (US)","Dip. ICD-US","diploma-in-international-contract-negotiation-drafting-and-enforcement-us","2025-05-31 23:59:00","900","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-10-18 14:32:40","2025-05-16 17:05:45",,"N","N","","","N","","N","","N","","","month","T","0","0","263","N","","N","","","N","Remote International Work","13","Y","Cashfree","US",,"0"
"94","13","Diploma in International Business Law (US)","Dip. IBL (US)","diploma-in-international-business-law-us","2025-08-31 23:59:00","900","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-10-17 20:17:46","2025-08-16 13:08:03",,"N","N","","","N","","N","","N","","","month","T","0","0","262","N","","N","","","N","Remote International Work","13","Y","Cashfree","US",,"0"
"93","13","Crack Barrister and Solicitor Examination - Canada","Crack Barrister and Solicitor Examination - Canada","crack-barrister-and-solicitor-examination---canada","2026-03-31 23:59:00","1799","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-10-17 19:52:12","2026-03-17 12:03:44",,"N","N","","","N","","N","","N","","","month","T","0","0","261","N","","N","","","N","Remote International Work","16","Y","Cashfree","US",,"0"
"92","13","Crack NCA - Canada Examination - Test Prep Course","Crack NCA - Canada (CAN)","crack-nca---canada-examination---test-prep-course","2024-10-16 17:48:00","1499","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-10-17 17:48:54","2024-10-17 20:10:34",,"N","N","","","N","","N","","N","","","month","T","0","0","260","N","","N","","","N","Remote International Work","16","Y","Cashfree","US",,"0"
"91","13","Test Course for Other Geo Location","Test Course for Other Geo Location","test-course-for-other-geo-location","2026-08-08 15:11:00","1","6","N","","Y","N",,"A","204",,,"N","2024-10-17 17:34:22","2026-08-08 15:08:06",,"N","N","","","N","","N","","N","","","days","T","0","0","259","N","","N","","","N","Remote International Work","16","Y","Cashfree","OTHERS",,"0"
"90","13","Personal Branding Program for Corporate Leaders (UK)","Personal Branding-UK","personal-branding-program-for-corporate-leaders-uk","2025-07-15 23:59:00","799","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-10-17 14:52:43","2025-07-01 11:07:04",,"N","N","","","N","","N","","N","","","month","T","0","0","258","N","","N","","","N","Remote International Work","10","Y","Cashfree","UK",,"0"
"89","13","Generative AI and Prompt Engineering (UK)","Generative AI-UK","generative-ai-and-prompt-engineering-uk","2025-07-15 23:59:00","1199","3","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-10-17 14:34:53","2025-07-01 11:07:40",,"N","N","","","N","","N","","N","","","month","T","0","0","257","N","","N","","","N","Remote International Work","11","Y","Cashfree","UK",,"0"
"88","13","Training Program to Crack the US Patent Practitioner Exam & Design Patent Bar Exam (US)","US Patent Practitioner Exam","training-program-to-crack-the-us-patent-practitioner-exam",,"1800","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2024-10-13 18:56:22","2024-10-15 19:10:15",,"N","Y","","","N","","N","","N","","","month","T","0","0","256","N","","N","","","N","Remote International Work","10","Y","Cashfree","US",,"0"
"87","13","Diploma in Patent Law & Analysis (USPTO): Searches, Specifications, Prosecution, Litigation and Licensing (US)","Dip. Patent law - US","diploma-in-patent-law--analysis-uspto-searches-specifications-prosecution-litigation-and-licensing-us","2024-10-09 16:01:00","1800","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2024-10-10 16:02:16","2024-10-13 19:10:34",,"N","N","","","N","","N","","N","","","month","T","0","0","255","N","","N","","","N","Remote International Work","13","Y","Cashfree","US",,"0"
"86","13","Crack The Solicitors Qualifying Examination (SQE 2)(UK)","TP-SQE","crack-the-solicitors-qualifying-examination-sqe-2-uk",,"1000","6","N","6-8 hours/week","Y","N",,"A","204",,,"N","2024-09-27 17:42:19","2024-10-24 14:10:53",,"N","N","","","N","","N","","N","","","month","T","0","0","254","N","","N","","","N","Remote International Work","5","Y","Cashfree","UK",,"0"
